Date ,Stock,Open,High,Low,Last,Volume,
05-08-2020,SHNG ,2.84 ,2.84 ,2.70 ,2.79 ,185K ,
05-08-2020,SLF ,1,600.00 ,1,600.00 ,1,580.00 ,1,600.00 ,485 ,
05-08-2020,SLI ,1.93 ,1.93 ,1.92 ,1.93 ,50K ,
05-08-2020,SM ,828.00 ,838.00 ,802.00 ,804.00 ,499.15K ,
05-08-2020,SMC ,96.65 ,96.65 ,96.10 ,96.50 ,111.31K ,
05-08-2020,SMC2C ,77.30 ,77.30 ,76.50 ,76.50 ,1.11K ,
05-08-2020,SMC2D ,75.10 ,75.10 ,75.10 ,75.10 ,10 ,
05-08-2020,SMC2E ,75.00 ,75.00 ,75.00 ,75.00 ,50 ,
05-08-2020,SMC2F ,75.90 ,75.90 ,75.90 ,75.90 ,1K ,
05-08-2020,SMC2I ,75.00 ,75.00 ,75.00 ,75.00 ,160.1K ,
05-08-2020,SMPH ,31.00 ,31.30 ,30.50 ,31.00 ,9.64M ,
05-08-2020,SOC ,0.70 ,0.70 ,0.68 ,0.68 ,27K ,
05-08-2020,SPC ,7.89 ,8.30 ,7.89 ,8.20 ,1.04M ,
05-08-2020,SSI ,1.21 ,1.25 ,1.17 ,1.19 ,3.5M ,
05-08-2020,SSP ,1.20 ,1.26 ,1.17 ,1.24 ,2.17M ,
05-08-2020,STI ,0.35 ,0.35 ,0.34 ,0.3450 ,1.38M ,
05-08-2020,STR ,3.83 ,3.92 ,3.83 ,3.83 ,61K ,
05-08-2020,SUN ,1.27 ,1.29 ,1.21 ,1.23 ,1.23M ,
05-08-2020,T ,0.78 ,0.83 ,0.78 ,0.82 ,635K ,
05-08-2020,TBGI ,0.1850 ,0.1890 ,0.1850 ,0.1850 ,1.7M ,
05-08-2020,TECH ,8.35 ,8.47 ,7.55 ,7.66 ,6.59M ,
05-08-2020,TEL ,1,243.00 ,1,250.00 ,1,207.00 ,1,207.00 ,204.55K ,
05-08-2020,TFHI ,138.00 ,138.00 ,136.00 ,138.00 ,6.69K ,
05-08-2020,TUGS ,0.90 ,0.90 ,0.87 ,0.87 ,493K ,
05-08-2020,UBP ,54.50 ,54.50 ,53.65 ,54.00 ,7.37K ,
05-08-2020,UPM ,0.0041 ,0.0041 ,0.0041 ,0.0041 ,2M ,
05-08-2020,URC ,124.40 ,126.00 ,120.10 ,123.00 ,1.56M ,
05-08-2020,VITA ,0.84 ,0.85 ,0.82 ,0.82 ,3.7M ,
05-08-2020,VLL ,3.94 ,3.95 ,3.89 ,3.92 ,1.24M ,
05-08-2020,VMC ,2.22 ,2.22 ,2.22 ,2.22 ,10K ,
05-08-2020,VUL ,0.66 ,0.70 ,0.64 ,0.66 ,1.05M ,
05-08-2020,WEB ,2.49 ,2.58 ,2.41 ,2.50 ,2.55M ,
05-08-2020,WIN ,0.1760 ,0.1760 ,0.1760 ,0.1760 ,10K ,
05-08-2020,WLCON ,15.40 ,16.60 ,15.40 ,15.86 ,2.65M ,
05-08-2020,WPI ,0.40 ,0.40 ,0.40 ,0.40 ,900K ,
05-08-2020,X ,0.63 ,0.64 ,0.61 ,0.63 ,2.25M ,
05-08-2020,ZHI ,0.1460 ,0.1550 ,0.1430 ,0.1550 ,320K ,
